Distance_(microns),Gray_Value
0.000,14885.004
0.830,15060.178
1.661,15486.396
2.491,16451.607
3.321,17017.758
4.151,17022.838
4.982,17040.268
5.812,18388.166
6.642,19423.193
7.472,20861.551
8.303,20738.543
9.133,20448.373
9.963,21445.328
10.793,21583.867
11.624,21333.312
12.454,21888.408
13.284,22467.701
14.115,21420.275
14.945,21882.193
15.775,22095.037
16.605,23131.604
17.436,23051.525
18.266,23417.461
19.096,22134.857
19.926,23152.932
20.757,23472.635
21.587,22325.531
22.417,23136.906
23.247,22240.732
24.078,22374.838
24.908,22504.842
25.738,23354.822
26.569,22593.121
27.399,22837.199
28.229,23427.578
29.059,21975.490
29.890,22725.891
30.720,23462.377
31.550,22963.777
32.380,22918.328
33.211,22670.635
34.041,22854.252
34.871,23984.068
35.701,24604.988
36.532,24346.971
37.362,23644.754
38.192,24234.535
39.023,23729.498
39.853,24278.777
40.683,23126.932
41.513,23275.461
42.344,23911.684
43.174,22776.291
44.004,22128.400
44.834,22033.359
45.665,21342.016
46.495,21759.008
47.325,21957.596
48.155,22202.098
48.986,21352.947
49.816,22929.199
50.646,22624.988
51.477,22093.627
52.307,23095.465
53.137,21175.369
53.967,22208.012
54.798,22418.943
55.628,22672.883
56.458,22262.238
57.288,23172.951
58.119,23405.514
58.949,23249.943
59.779,22868.559
60.609,23329.494
61.440,22881.150
62.270,23004.547
63.100,22747.352
63.930,22865.494
64.761,21726.967
65.591,21870.064
66.421,22243.438
67.252,22867.732
68.082,23678.061
68.912,23767.910
69.742,22598.645
70.573,22938.502
71.403,23789.932
72.233,24355.807
73.063,23346.846
73.894,23535.562
74.724,23110.057
75.554,23066.766
76.384,22975.578
77.215,23304.592
78.045,24219.758
78.875,24313.963
79.706,23510.971
80.536,23304.252
81.366,23297.193
82.196,24432.725
83.027,22911.246
83.857,23739.539
84.687,23448.170
85.517,23516.369
86.348,23620.162
87.178,24232.020
88.008,23879.166
88.838,25106.412
89.669,24034.797
90.499,24731.883
91.329,23821.963
92.160,24027.264
92.990,24778.936
93.820,25347.365
94.650,24621.562
95.481,24200.385
96.311,25069.559
97.141,25783.980
97.971,24574.928
98.802,25046.324
99.632,25085.158
100.462,26269.369
101.292,25359.389
102.123,25578.607
102.953,26856.365
103.783,24784.385
104.614,24127.762
105.444,22950.688
106.274,20673.098
107.104,20529.129
107.935,20561.080
108.765,19196.252
109.595,17303.117
110.425,17122.299
111.256,16653.400
112.086,16732.748
112.916,15510.117
113.746,16239.830
114.577,14367.243
115.407,14100.174
116.237,14520.008
117.068,14021.583
117.898,13543.766
118.728,12971.332
119.558,13401.842
120.389,13004.102
121.219,12405.158
122.049,13062.068
122.879,12311.611
123.710,12359.409
124.540,12858.312
125.370,12307.988
126.200,12268.692
127.031,12367.757
127.861,12720.939
128.691,12148.607
129.522,12671.983
130.352,12128.943
131.182,11600.045
132.012,12217.445
132.843,12272.895
133.673,11570.939
134.503,12336.737
135.333,12325.936
136.164,12317.421
136.994,11617.846
137.824,12372.421
138.654,11757.898
139.485,11190.085
140.315,10954.502
141.145,11701.519
141.976,11690.911
142.806,11398.664
143.636,11954.304
144.466,11575.421
145.297,10703.615
146.127,11205.190
146.957,11066.315
147.787,11155.802
148.618,10767.117
149.448,10875.566
150.278,11654.353
151.108,11001.817
151.939,11762.425
152.769,12777.979
153.599,12938.810
154.430,13763.004
155.260,14500.061
156.090,16800.559
156.920,17515.449
157.751,18460.166
158.581,19421.438
159.411,19808.959
160.241,21070.449
161.072,20909.412
161.902,21380.547
162.732,22289.797
163.562,22261.910
164.393,21840.295
165.223,21579.996
166.053,22389.234
166.883,22511.162
167.714,22021.049
168.544,22720.189
169.374,22606.684
170.205,22655.777
171.035,23233.652
171.865,22108.777
172.695,22250.854
173.526,23522.801
174.356,22095.635
175.186,21757.029
176.016,21896.967
176.847,21447.352
177.677,22008.344
178.507,21852.170
179.337,22014.393
180.168,21731.309
180.998,22318.125
181.828,21916.174
182.659,21194.287
183.489,20862.656
184.319,20343.648
185.149,21345.230
185.980,20827.887
186.810,21390.033
187.640,20987.049
188.470,20733.951
189.301,19916.562
190.131,21082.691
190.961,21261.174
191.791,21176.098
192.622,21280.705
193.452,21159.701
194.282,19895.400
195.113,20782.113
195.943,21446.094
196.773,20938.385
197.603,20807.875
198.434,22405.170
199.264,20383.150
200.094,20972.389
200.924,21258.166
201.755,21486.053
202.585,20944.951
203.415,20053.260
204.245,20071.117
205.076,20977.814
205.906,20667.186
206.736,20864.283
207.567,20236.404
208.397,21488.434
209.227,20213.049
210.057,21138.393
210.888,20239.680
211.718,20803.688
212.548,21491.426
213.378,20672.543
214.209,20752.850
215.039,20333.348
215.869,20901.094
216.699,20288.061
217.530,20104.588
218.360,20087.785
219.190,20154.430
220.021,19549.389
220.851,19724.260
221.681,21098.570
222.511,19070.396
223.342,20584.963
224.172,18177.029
225.002,18991.328
225.832,19501.113
226.663,19126.000
227.493,18776.182
228.323,19499.287
229.153,19446.268
229.984,19472.166
230.814,19696.352
231.644,19312.219
232.475,19926.000
233.305,19721.162
234.135,19318.238
234.965,18532.057
235.796,19619.461
236.626,19530.475
237.456,19326.898
238.286,19232.826
239.117,19456.260
239.947,20311.113
240.777,20105.518
241.607,20553.525
242.438,19948.080
243.268,19903.373
244.098,19679.740
244.929,19239.936
245.759,19145.068
246.589,18169.996
247.419,18408.611
248.250,19321.762
249.080,19848.635
249.910,19640.648
250.740,18878.932
251.571,19790.547
252.401,19074.080
253.231,19440.189
254.061,19627.162
254.892,19525.441
255.722,18983.076
256.552,19255.875
257.383,19228.936
258.213,19023.619
259.043,20133.256
259.873,19326.400
260.704,19802.348
261.534,18571.223
262.364,18492.348
263.194,18425.068
264.025,18423.453
264.855,18670.121
265.685,18908.344
266.515,18739.174
267.346,19034.186
268.176,18312.924
269.006,18312.113
269.837,18454.020
270.667,19617.850
271.497,18887.785
272.327,19440.482
273.158,18700.080
273.988,18876.264
274.818,19087.125
275.648,19434.635
276.479,20016.426
277.309,18765.283
278.139,19807.359
278.969,19994.871
279.800,18592.121
280.630,18752.328
281.460,19958.758
282.290,19431.203
283.121,19743.725
283.951,19514.279
284.781,20322.242
285.612,19189.838
286.442,19118.984
287.272,18675.506
288.102,19811.785
288.933,19336.369
289.763,18574.697
290.593,18895.199
291.423,18080.721
292.254,18975.299
293.084,18785.426
293.914,17627.801
294.745,17817.166
295.575,17791.697
296.405,18036.879
297.235,17132.061
298.066,18467.518
298.896,17661.178
299.726,18874.652
300.556,18670.037
301.387,18611.150
302.217,18879.797
303.047,19385.479
303.877,19333.309
304.708,19127.680
305.538,18715.094
306.368,19480.559
307.198,19449.223
308.029,19306.203
308.859,19111.729
309.689,18483.879
310.520,18773.418
311.350,18857.252
312.180,18145.426
313.010,18420.279
313.841,18041.434
314.671,19289.434
315.501,19180.418
316.331,19199.797
317.162,18066.328
317.992,19032.967
318.822,17538.773
319.652,18029.049
320.483,18628.744
321.313,18347.260
322.143,19229.320
322.974,18548.807
323.804,19076.758
324.634,19099.299
325.464,19279.705
326.295,19254.061
327.125,19271.355
327.955,19196.295
328.785,19468.143
329.616,18849.871
330.446,18528.045
331.276,19078.988
332.106,19258.732
332.937,19129.377
333.767,19711.709
334.597,20665.688
335.428,19603.688
336.258,20638.412
337.088,19863.256
337.918,20551.150
338.749,20912.457
339.579,20642.713
340.409,19168.641
341.239,19753.631
342.070,19836.807
342.900,19111.166
343.730,19197.588
344.560,19684.203
345.391,19661.744
346.221,19119.154
347.051,17957.295
347.882,18502.525
348.712,18474.688
349.542,18308.012
350.372,18093.611
351.203,18309.113
352.033,17589.758
352.863,16804.053
353.693,18551.891
354.524,17522.422
355.354,18175.943
356.184,18079.596
357.014,18099.453
357.845,19233.846
358.675,19057.227
359.505,18339.328
360.336,19619.980
361.166,19535.668
361.996,19595.494
362.826,19280.539
363.657,20121.352
364.487,19510.939
365.317,19797.412
366.147,19671.482
366.978,19107.287
367.808,19480.189
368.638,19773.129
369.468,20371.705
370.299,20228.332
371.129,20225.023
371.959,19452.396
372.790,20464.094
373.620,18933.000
374.450,20139.635
375.280,18844.340
376.111,19983.143
376.941,19656.158
377.771,19849.117
378.601,20697.713
379.432,20085.660
380.262,19955.955
381.092,19462.227
381.922,20132.736
382.753,20036.631
383.583,19354.482
384.413,19745.521
385.243,20353.748
386.074,20212.068
386.904,18820.359
387.734,18328.336
388.565,19277.955
389.395,19475.668
390.225,19314.004
391.055,19666.555
391.886,18679.660
392.716,19200.008
393.546,18796.352
394.376,19016.754
395.207,18971.498
396.037,17958.842
396.867,19124.777
397.698,18809.023
398.528,19455.412
399.358,19045.688
400.188,19304.223
401.019,19097.256
401.849,19100.951
402.679,17913.461
403.509,18870.822
404.340,19504.943
405.170,17899.830
406.000,18597.936
406.830,18679.256
407.661,18566.227
408.491,18492.215
409.321,17953.260
410.151,18003.555
410.982,17767.113
411.812,18848.186
412.642,18239.766
413.473,19106.645
414.303,18851.422
415.133,19371.615
415.963,19855.309
416.794,20168.117
417.624,19609.150
418.454,18782.826
419.284,19188.992
420.115,19578.393
420.945,18599.623
421.775,19315.656
422.605,18618.219
423.436,18864.332
424.266,18348.162
425.096,19498.246
425.927,19768.551
426.757,19398.838
427.587,18702.396
428.417,19656.404
429.248,19239.963
430.078,19096.186
430.908,19153.713
431.738,18718.178
432.569,18607.826
433.399,19322.041
434.229,19122.061
435.059,20263.340
435.890,21653.223
436.720,21233.891
437.550,21569.543
438.381,20764.680
439.211,19591.352
440.041,20305.072
440.871,19805.008
441.702,19842.295
442.532,20234.611
443.362,20045.656
444.192,20357.352
445.023,20721.525
445.853,19786.818
446.683,20421.631
447.513,21056.980
448.344,20157.939
449.174,20814.725
450.004,20562.887
450.835,21109.291
451.665,20848.631
452.495,21150.627
453.325,20768.955
454.156,21134.811
454.986,20321.016
455.816,20110.910
456.646,19514.098
457.477,19815.762
458.307,20055.090
459.137,20635.766
459.967,20691.631
460.798,20660.562
461.628,20572.037
462.458,19958.064
463.289,20113.057
464.119,19508.020
464.949,20191.320
465.779,19678.963
466.610,19553.854
467.440,19214.725
468.270,20296.109
469.100,20695.133
469.931,20903.320
470.761,20983.555
471.591,21815.672
472.421,20964.303
473.252,22054.570
474.082,21075.125
474.912,21656.932
475.743,21034.352
476.573,22043.137
477.403,21761.811
478.233,21653.256
479.064,21561.535
479.894,21470.178
480.724,21680.955
481.554,22269.355
482.385,21294.068
483.215,20577.834
484.045,22480.559
484.875,21519.336
485.706,21319.688
486.536,20557.570
487.366,20962.902
488.197,19552.652
489.027,20590.531
489.857,20677.486
490.687,20846.959
491.518,20072.283
492.348,20388.475
493.178,20449.871
494.008,19454.951
