Distance_(microns),Gray_Value
0.000,19493.842
0.830,20125.521
1.661,20080.951
2.491,19701.635
3.321,19154.316
4.151,19459.920
4.982,18337.381
5.812,18890.684
6.642,18531.562
7.472,18143.920
8.303,17816.967
9.133,17768.932
9.963,17939.498
10.793,17940.154
11.624,17441.514
12.454,18035.850
13.284,17966.143
14.115,17459.086
14.945,18050.000
15.775,18087.740
16.605,17813.910
17.436,18014.510
18.266,18376.174
19.096,18083.133
19.926,18131.332
20.757,18168.400
21.587,18154.260
22.417,18813.781
23.247,17251.785
24.078,18623.963
24.908,18665.268
25.738,17968.521
26.569,18766.215
27.399,18043.688
28.229,18507.203
29.059,18181.234
29.890,17177.348
30.720,17139.150
31.550,17265.672
32.380,17271.793
33.211,16691.283
34.041,17633.373
34.871,16864.619
35.701,17161.691
36.532,18344.582
37.362,18094.076
38.192,17586.252
39.023,16887.521
39.853,17775.299
40.683,17153.627
41.513,16701.959
42.344,16720.928
43.174,17722.705
44.004,17072.645
44.834,16932.457
45.665,17472.615
46.495,17349.623
47.325,17047.086
48.155,17712.566
48.986,16583.631
49.816,16840.514
50.646,15866.551
51.477,16703.137
52.307,16486.193
53.137,17056.133
53.967,16720.174
54.798,17142.320
55.628,17210.748
56.458,17365.170
57.288,17394.627
58.119,18022.902
58.949,17847.684
59.779,16386.475
60.609,17395.102
61.440,17267.068
62.270,18071.619
63.100,18379.801
63.930,18447.992
64.761,17808.396
65.591,18319.162
66.421,17692.988
67.252,19158.498
68.082,18570.486
68.912,18154.850
69.742,17754.174
70.573,18703.525
71.403,18631.879
72.233,18164.506
73.063,18992.574
73.894,18708.811
74.724,18846.271
75.554,19438.963
76.384,19455.049
77.215,18733.887
78.045,18794.283
78.875,19412.709
79.706,19788.012
80.536,19396.875
81.366,18823.211
82.196,18575.260
83.027,19062.041
83.857,17810.373
84.687,18586.064
85.517,17833.920
86.348,16758.988
87.178,17638.744
88.008,17432.846
88.838,17787.412
89.669,17037.785
90.499,17852.355
91.329,16446.871
92.160,16042.353
92.990,16690.826
93.820,16318.571
94.650,14286.223
95.481,15185.304
96.311,14477.607
97.141,13482.255
97.971,13659.851
98.802,12229.951
99.632,12272.494
100.462,10885.279
101.292,10780.438
102.123,10596.105
102.953,10257.146
103.783,10404.149
104.614,10386.854
105.444,9211.640
106.274,9820.522
107.104,9965.126
107.935,8771.247
108.765,8908.773
109.595,8658.947
110.425,8400.555
111.256,8431.992
112.086,8156.267
112.916,7668.680
113.746,8027.676
114.577,7386.417
115.407,8197.704
116.237,7548.684
117.068,7835.660
117.898,7680.409
118.728,7297.773
119.558,7261.539
120.389,7441.575
121.219,7620.984
122.049,6884.077
122.879,7043.838
123.710,7641.235
124.540,7266.162
125.370,7178.288
126.200,6814.579
127.031,6689.542
127.861,6445.773
128.691,6093.518
129.522,6428.223
130.352,6655.745
131.182,6141.631
132.012,6311.186
132.843,6272.122
133.673,6388.907
134.503,6068.251
135.333,6336.579
136.164,6577.680
136.994,6730.300
137.824,7116.660
138.654,7690.826
139.485,8352.996
