Distance_(microns),Gray_Value
0.000,16915.230
0.830,16543.057
1.661,16587.793
2.491,16119.559
3.321,15913.417
4.151,15720.142
4.982,15494.353
5.812,15278.219
6.642,14853.551
7.472,15350.979
8.303,15351.332
9.133,15168.919
9.963,15356.409
10.793,15551.530
11.624,14956.332
12.454,14814.012
13.284,14865.903
14.115,14844.607
14.945,15928.413
15.775,15607.227
16.605,15524.810
17.436,15852.636
18.266,15161.822
19.096,15275.611
19.926,15559.328
20.757,15195.068
21.587,14679.534
22.417,15493.324
23.247,15144.275
24.078,15051.810
24.908,15165.551
25.738,15058.903
26.569,14481.004
27.399,15094.466
28.229,15020.372
29.059,15010.324
29.890,15370.615
30.720,14724.996
31.550,14801.773
32.380,14991.109
33.211,14673.919
34.041,13998.834
34.871,14553.021
35.701,14889.045
36.532,14897.781
37.362,14995.187
38.192,15260.644
39.023,15092.647
39.853,15005.263
40.683,15582.927
41.513,15004.923
42.344,15144.826
43.174,15322.709
44.004,15184.891
44.834,14734.846
45.665,14428.349
46.495,14604.785
47.325,14950.320
48.155,14431.923
48.986,14857.611
49.816,15523.842
50.646,15260.757
51.477,15014.449
52.307,14971.555
53.137,14637.425
53.967,13848.068
54.798,14449.053
55.628,14115.275
56.458,14366.085
57.288,14803.344
58.119,14475.939
58.949,14147.230
59.779,14445.939
60.609,14919.798
61.440,14321.562
62.270,14194.445
63.100,14383.271
63.930,14417.571
64.761,14537.146
65.591,14001.032
66.421,13992.198
67.252,14083.692
68.082,14494.413
68.912,14615.713
69.742,14785.883
70.573,14511.992
71.403,14430.028
72.233,14887.834
73.063,15026.040
73.894,15644.983
74.724,14793.838
75.554,15550.538
76.384,15228.607
77.215,14554.340
78.045,15611.053
78.875,15785.202
79.706,15480.405
80.536,14897.898
81.366,14884.457
82.196,14677.405
83.027,14993.559
83.857,15344.434
84.687,14781.081
85.517,15212.057
86.348,14796.907
87.178,14962.668
88.008,14398.251
88.838,14825.389
89.669,15021.817
90.499,15440.660
91.329,15343.830
92.160,15110.109
92.990,15138.296
93.820,15147.344
94.650,14856.685
95.481,15315.794
96.311,14657.915
97.141,15030.158
97.971,15230.077
98.802,14832.721
99.632,14966.259
100.462,14809.770
101.292,14967.360
102.123,14962.571
102.953,15405.704
103.783,15448.575
104.614,15229.854
105.444,15660.644
106.274,15205.623
107.104,15302.000
107.935,14544.178
108.765,14725.093
109.595,14902.130
110.425,14831.834
111.256,15381.429
112.086,14579.562
112.916,14725.898
113.746,14598.559
114.577,14631.911
115.407,14984.725
116.237,15194.474
117.068,14368.713
117.898,14493.462
118.728,14604.093
119.558,14909.737
120.389,15539.154
121.219,15485.109
122.049,16012.134
122.879,15792.562
123.710,16403.600
124.540,16347.021
125.370,16913.838
126.200,16226.349
127.031,16056.587
127.861,16075.789
128.691,16329.656
129.522,16340.300
130.352,16120.438
131.182,16031.053
132.012,16228.862
132.843,16256.494
133.673,16246.441
134.503,16026.651
135.333,15866.891
136.164,15884.170
136.994,16319.109
137.824,16336.955
138.654,15768.113
139.485,16127.320
140.315,16007.619
141.145,16038.102
141.976,16332.409
142.806,16865.170
143.636,16809.955
144.466,16681.465
145.297,17389.604
146.127,17152.045
146.957,17132.328
147.787,16797.936
148.618,16789.740
149.448,16990.627
150.278,16674.955
151.108,16148.575
151.939,16585.430
152.769,16580.668
153.599,16368.604
154.430,16169.146
155.260,16265.700
156.090,16329.587
156.920,16820.729
157.751,16303.907
158.581,16473.770
159.411,16157.198
160.241,16117.028
161.072,16247.097
161.902,16234.919
162.732,16053.595
163.562,16787.604
164.393,16514.359
165.223,16342.393
166.053,17372.785
166.883,16834.611
167.714,17066.619
168.544,17497.340
169.374,17134.182
170.205,16747.854
171.035,17621.256
171.865,18167.732
172.695,18733.166
173.526,18563.479
174.356,19220.166
175.186,18916.000
176.016,19032.518
176.847,18986.502
177.677,19210.914
178.507,18242.615
179.337,17977.369
180.168,18347.189
180.998,19125.770
181.828,18341.963
182.659,19289.080
183.489,19040.029
184.319,18618.004
185.149,19398.389
185.980,19354.518
186.810,19045.502
187.640,18431.611
188.470,18729.818
189.301,18155.814
190.131,18324.867
190.961,18762.842
191.791,19386.234
192.622,19208.430
193.452,18946.838
194.282,19274.867
195.113,19229.328
195.943,19220.389
196.773,19376.271
197.603,19723.154
198.434,19820.830
199.264,20297.117
200.094,20815.814
200.924,20501.684
201.755,20130.453
202.585,20375.023
203.415,20476.049
204.245,20022.596
205.076,19405.936
205.906,19926.385
206.736,19500.789
207.567,19455.744
208.397,19579.645
209.227,19606.023
210.057,18952.770
210.888,19353.770
211.718,18753.004
212.548,19382.688
213.378,19059.607
214.209,19842.064
215.039,19895.359
215.869,19764.328
216.699,20031.057
217.530,19657.914
218.360,20060.521
219.190,19177.098
220.021,19183.898
220.851,19206.057
221.681,19591.469
222.511,19801.434
223.342,19971.154
224.172,19294.365
225.002,19584.434
225.832,18789.098
226.663,18167.748
227.493,17913.600
228.323,18888.121
229.153,18639.490
229.984,18076.525
230.814,17852.064
231.644,17369.045
232.475,17836.143
233.305,18023.551
234.135,17715.713
234.965,17994.287
235.796,17749.947
236.626,17747.762
237.456,17926.029
238.286,16809.102
239.117,17228.182
239.947,17728.604
240.777,18073.887
241.607,16700.113
242.438,15992.834
243.268,16498.086
244.098,15491.434
244.929,16015.036
245.759,16653.604
246.589,17222.076
247.419,16189.045
248.250,16536.242
249.080,15838.640
249.910,16497.486
250.740,16245.219
251.571,16443.623
252.401,16140.470
253.231,15811.555
254.061,15905.340
254.892,15835.773
255.722,16030.547
256.552,16097.154
257.383,16816.947
258.213,16860.053
259.043,17190.016
259.873,16144.761
260.704,15602.543
261.534,15818.453
262.364,15189.583
263.194,15196.770
264.025,15098.988
264.855,14966.077
265.685,15001.749
266.515,15218.089
267.346,16443.186
268.176,16657.898
269.006,16399.574
269.837,16038.506
270.667,17036.438
271.497,16890.309
272.327,16260.749
273.158,15730.660
273.988,14692.263
274.818,14806.688
275.648,14613.481
276.479,14168.400
277.309,13961.632
278.139,14241.826
278.969,14486.389
279.800,14589.709
280.630,13878.866
281.460,13693.089
282.290,14074.721
283.121,13794.680
283.951,13581.842
284.781,14164.215
285.612,14835.955
286.442,15858.810
287.272,15600.349
288.102,15030.964
288.933,14646.538
289.763,15078.081
290.593,15174.259
291.423,15245.190
292.254,15479.344
293.084,15470.530
293.914,14371.061
294.745,13813.085
295.575,14054.279
296.405,13994.154
297.235,14385.534
298.066,13777.737
298.896,13314.247
299.726,14317.543
300.556,13983.271
301.387,13841.628
302.217,14938.813
303.047,14630.336
303.877,14342.017
304.708,14239.085
305.538,14556.874
306.368,14844.915
307.198,15415.943
308.029,15065.385
308.859,14783.166
309.689,14550.490
310.520,15465.915
311.350,14528.591
312.180,15001.619
313.010,14936.866
313.841,15208.737
314.671,15240.713
315.501,15664.064
316.331,15503.498
317.162,15385.089
317.992,15510.891
318.822,14990.040
319.652,15315.632
320.483,15078.396
321.313,14866.429
322.143,14642.927
322.974,14672.676
323.804,15101.170
324.634,15645.081
325.464,14913.057
326.295,14962.328
327.125,15600.158
327.955,15194.636
328.785,15340.813
329.616,15762.036
330.446,16093.534
331.276,16652.057
332.106,16513.295
332.937,16353.972
333.767,16141.105
334.597,16672.252
335.428,16786.129
336.258,17141.381
337.088,16647.154
337.918,16583.344
338.749,16692.426
339.579,16528.404
340.409,16039.089
341.239,16124.721
342.070,16366.879
342.900,15905.283
343.730,15997.396
344.560,15957.102
345.391,15914.105
346.221,16291.004
347.051,16433.631
347.882,16984.312
348.712,17337.740
349.542,18054.818
350.372,18207.234
351.203,17997.457
352.033,17579.656
352.863,17222.818
353.693,16875.627
354.524,17558.967
355.354,17217.834
356.184,16538.121
357.014,17274.684
357.845,17373.648
358.675,18458.303
359.505,18490.182
360.336,18128.748
361.166,18495.668
361.996,18787.207
362.826,18257.238
363.657,19007.045
364.487,18324.607
365.317,19480.098
366.147,19418.619
366.978,19217.611
367.808,19941.203
368.638,20381.418
369.468,20966.113
370.299,20268.332
371.129,20509.203
371.959,20156.154
372.790,20423.260
373.620,21299.242
374.450,20809.891
375.280,21470.582
376.111,21339.684
376.941,21410.328
377.771,22227.482
378.601,21854.963
379.432,22147.736
380.262,22387.592
381.092,23136.287
381.922,22596.133
382.753,22462.369
383.583,22854.316
384.413,23827.502
385.243,23275.295
386.074,23035.283
386.904,22738.645
387.734,23015.352
388.565,23303.732
389.395,23674.348
390.225,23650.182
391.055,23459.422
391.886,23072.033
392.716,22873.531
393.546,23057.430
394.376,22956.818
395.207,22539.219
396.037,22528.332
396.867,22457.883
397.698,23100.996
398.528,23087.744
399.358,22016.133
400.188,21892.045
401.019,22863.234
401.849,23169.604
402.679,22206.264
403.509,22214.939
404.340,22794.525
405.170,22388.193
406.000,22360.502
406.830,22516.570
407.661,22175.061
408.491,22993.008
409.321,22857.348
410.151,23414.090
410.982,22921.691
411.812,22732.178
412.642,23034.615
413.473,22867.352
414.303,23492.551
415.133,23155.758
415.963,22864.283
416.794,22474.963
417.624,22518.154
418.454,22377.068
419.284,22234.234
420.115,22604.426
420.945,23132.660
