Distance_(microns),Gray_Value
0.000,22547.924
0.830,22863.449
1.661,22040.049
2.491,22276.910
3.321,21826.404
4.151,21865.166
4.982,21427.445
5.812,21316.668
6.642,21420.029
7.472,22191.393
8.303,22028.664
9.133,21940.721
9.963,21977.328
10.793,20797.193
11.624,21204.932
12.454,21367.762
13.284,21106.494
14.115,21214.080
14.945,21184.688
15.775,22109.094
16.605,22027.697
17.436,21066.838
18.266,20907.020
19.096,21106.486
19.926,21507.393
20.757,21610.785
21.587,21263.664
22.417,21092.162
23.247,21913.648
24.078,20845.178
24.908,21027.234
25.738,20588.057
26.569,20648.430
27.399,20609.518
28.229,21581.312
29.059,20810.105
29.890,20998.951
30.720,20784.559
31.550,20866.090
32.380,20615.469
33.211,20313.947
34.041,20661.203
34.871,20383.732
35.701,19852.381
36.532,19281.061
37.362,20115.592
38.192,20163.396
39.023,20179.068
39.853,19165.365
40.683,19613.939
41.513,20573.980
42.344,21062.842
43.174,20917.875
44.004,21687.256
44.834,21621.207
45.665,21369.977
46.495,21003.076
47.325,21041.037
48.155,21048.955
48.986,21218.785
49.816,21581.125
50.646,22105.121
51.477,22286.271
52.307,22410.215
53.137,22081.758
53.967,21372.980
54.798,21849.588
55.628,21355.943
56.458,21789.566
57.288,21281.619
58.119,21153.951
58.949,20707.105
59.779,21332.664
60.609,20630.641
61.440,20818.531
62.270,20958.312
63.100,21346.951
63.930,21416.744
64.761,21110.279
65.591,20921.758
66.421,20738.781
67.252,21384.773
68.082,21703.611
68.912,21865.170
69.742,20993.365
70.573,22041.691
71.403,23294.818
72.233,22636.299
73.063,23523.789
73.894,23827.076
74.724,24203.684
75.554,23711.352
76.384,24117.705
77.215,23873.924
78.045,24258.939
78.875,24074.547
79.706,24281.230
80.536,23537.656
81.366,24829.189
82.196,24532.037
83.027,23892.551
83.857,23009.166
84.687,22499.029
85.517,22600.193
86.348,23422.404
87.178,23145.189
88.008,23461.910
88.838,22930.400
89.669,22595.854
90.499,23208.963
91.329,23098.955
92.160,22995.080
92.990,22593.842
93.820,22295.316
94.650,23083.947
95.481,22453.910
96.311,22373.355
97.141,22349.766
97.971,22573.578
98.802,22011.189
99.632,22699.939
100.462,23030.588
101.292,22533.668
102.123,22319.279
102.953,22826.562
103.783,23047.162
104.614,22585.090
105.444,22421.133
106.274,22495.053
107.104,21873.660
107.935,21979.697
108.765,22197.227
109.595,22325.570
110.425,22145.271
111.256,22228.316
112.086,23087.992
112.916,23017.570
113.746,22924.482
114.577,22933.551
115.407,22559.566
116.237,23264.525
117.068,22616.166
117.898,23720.943
118.728,23721.199
119.558,23067.736
120.389,23088.465
121.219,22863.041
122.049,21971.725
122.879,22371.566
123.710,22464.641
124.540,22880.068
125.370,22312.064
126.200,22381.770
127.031,22413.189
127.861,22330.963
128.691,22107.189
129.522,21461.332
130.352,21972.773
131.182,21098.465
132.012,20341.102
132.843,20296.842
133.673,19721.121
134.503,19509.955
135.333,19298.842
136.164,18975.928
136.994,18932.441
137.824,18606.936
138.654,18420.891
139.485,18072.789
140.315,17459.510
141.145,17308.121
141.976,16703.902
142.806,17085.713
143.636,17004.846
144.466,16206.519
145.297,16368.579
146.127,16945.207
146.957,16997.418
147.787,17885.041
148.618,17090.902
149.448,17025.080
150.278,17186.418
151.108,17077.814
151.939,16749.482
152.769,16343.490
153.599,16737.117
154.430,15758.344
155.260,15744.964
156.090,16135.485
156.920,16182.340
157.751,15841.377
158.581,15669.417
159.411,16644.959
160.241,16808.465
161.072,17673.928
161.902,17126.219
162.732,16922.570
163.562,17047.238
164.393,17466.109
165.223,17439.902
166.053,17415.162
166.883,17632.418
167.714,17712.381
168.544,17418.688
169.374,17447.295
170.205,17533.113
171.035,17436.883
171.865,17286.396
172.695,17907.785
173.526,17318.023
174.356,17113.928
175.186,17618.980
176.016,17469.701
176.847,17689.223
177.677,17373.170
178.507,17565.029
179.337,17310.668
180.168,17625.154
180.998,17553.846
181.828,18018.867
182.659,18020.656
183.489,18259.822
184.319,17947.283
185.149,18846.697
185.980,18446.623
186.810,18041.012
187.640,16823.570
188.470,16997.980
189.301,16884.688
190.131,16449.076
190.961,16607.559
191.791,17025.797
192.622,17047.068
193.452,16615.801
194.282,17448.348
195.113,17537.158
