Distance_(microns),Gray_Value
0.000,12366.685
0.830,13515.068
1.661,13189.187
2.491,12832.490
3.321,13128.992
4.151,12923.964
4.982,13710.983
5.812,13803.126
6.642,13789.008
7.472,13328.688
8.303,13539.559
9.133,14052.149
9.963,14138.364
10.793,13704.081
11.624,13359.519
12.454,14671.619
13.284,15051.571
14.115,14082.632
14.945,14705.721
15.775,14986.534
16.605,14932.215
17.436,15604.685
18.266,15416.300
19.096,15194.810
19.926,16421.906
20.757,15637.429
21.587,15972.983
22.417,16677.502
23.247,15793.644
24.078,16561.291
24.908,15989.761
25.738,16481.252
26.569,16437.320
27.399,16358.162
28.229,16413.895
29.059,16590.582
29.890,16121.198
30.720,16681.721
31.550,17788.854
32.380,16700.996
33.211,16835.822
34.041,17643.766
34.871,16932.328
35.701,16270.049
36.532,16716.449
37.362,16628.891
38.192,16168.320
39.023,16400.057
39.853,17697.664
40.683,16886.336
41.513,18078.762
42.344,17289.365
43.174,17541.438
44.004,17438.959
44.834,17649.887
45.665,16259.858
46.495,17659.348
47.325,16638.906
48.155,17665.340
48.986,17087.789
49.816,16454.518
50.646,16801.607
51.477,16517.797
52.307,18060.668
53.137,16838.627
53.967,16743.486
54.798,15698.356
55.628,16362.085
56.458,16271.781
57.288,15672.275
58.119,15779.656
58.949,17421.697
59.779,16292.438
60.609,16359.093
61.440,17283.506
62.270,16532.490
63.100,16932.535
63.930,17601.781
64.761,16816.393
65.591,16776.521
66.421,17069.445
67.252,17344.109
68.082,16122.409
68.912,16758.404
69.742,17630.355
70.573,17660.023
71.403,17205.381
72.233,17942.641
73.063,17705.045
73.894,18448.086
74.724,17455.947
75.554,19296.631
76.384,18662.012
77.215,19086.518
78.045,19714.469
78.875,19336.299
79.706,20224.967
80.536,19762.766
81.366,21231.332
82.196,20439.932
83.027,21600.023
83.857,21742.373
84.687,22880.121
85.517,22170.211
86.348,21653.875
87.178,21021.660
88.008,22861.684
88.838,22887.154
89.669,21049.316
90.499,21736.709
91.329,20022.023
92.160,19195.676
92.990,16844.494
93.820,16579.412
94.650,15266.187
95.481,14328.134
96.311,13950.794
97.141,13153.385
97.971,11951.190
98.802,11441.976
99.632,11522.198
100.462,10147.604
101.292,10691.866
102.123,10140.304
102.953,9991.575
103.783,9585.640
104.614,9770.547
105.444,8832.672
106.274,9627.021
107.104,8707.130
107.935,8998.891
108.765,8744.494
109.595,8509.134
110.425,7742.737
111.256,8375.761
112.086,8285.692
112.916,7962.992
113.746,8232.615
114.577,8393.692
115.407,8583.040
116.237,8193.709
117.068,8052.721
117.898,8147.579
118.728,8177.959
119.558,8332.425
120.389,8026.000
121.219,7651.834
122.049,7804.065
122.879,7837.963
123.710,7283.563
124.540,7938.198
125.370,7750.866
126.200,7457.069
127.031,7819.376
127.861,7177.166
128.691,7411.044
129.522,7646.470
130.352,7435.705
131.182,7835.963
132.012,7128.494
132.843,6749.223
133.673,7534.725
134.503,7154.316
135.333,7022.065
136.164,7405.502
136.994,7677.397
137.824,8384.498
138.654,8044.680
139.485,8550.478
140.315,9114.040
141.145,10260.057
141.976,10469.438
142.806,10845.700
143.636,11051.903
144.466,12561.149
145.297,12588.983
