Distance_(microns),Gray_Value
0.000,20352.490
0.830,20551.672
1.661,21398.826
2.491,22302.955
3.321,22274.635
4.151,21876.004
4.982,20997.510
5.812,21152.623
6.642,20880.355
7.472,20258.721
8.303,20155.898
9.133,19812.064
9.963,19383.230
10.793,20067.502
11.624,20056.117
12.454,19504.461
13.284,19817.871
14.115,19899.344
14.945,20227.113
15.775,20383.053
16.605,20427.385
17.436,20489.449
18.266,20449.619
19.096,20523.996
19.926,20716.324
20.757,20440.887
21.587,20131.189
22.417,21140.902
23.247,21634.430
24.078,21742.029
24.908,21650.105
25.738,21618.219
26.569,21632.037
27.399,21413.660
28.229,21392.736
29.059,21796.457
29.890,22010.607
30.720,21554.521
31.550,21613.971
32.380,22056.348
33.211,22528.158
34.041,22022.713
34.871,21728.295
35.701,21704.000
36.532,22156.543
37.362,21869.113
38.192,21799.080
39.023,21849.863
39.853,21378.234
40.683,21200.234
41.513,21750.178
42.344,22124.688
43.174,21302.502
44.004,21109.688
44.834,21564.721
45.665,21727.438
46.495,22136.578
47.325,22197.898
48.155,21989.412
48.986,21654.418
49.816,21585.914
50.646,21259.389
51.477,21096.713
52.307,21159.838
53.137,21110.846
53.967,21338.502
54.798,21087.457
55.628,21151.656
56.458,20756.430
57.288,21199.109
58.119,21321.611
58.949,21801.660
59.779,21855.412
60.609,21337.875
61.440,21743.807
62.270,21608.400
63.100,21096.578
63.930,21517.418
64.761,21096.178
65.591,21509.355
66.421,21112.385
67.252,21597.369
68.082,21123.434
68.912,21377.902
69.742,20606.125
70.573,20481.174
71.403,20715.854
72.233,20640.215
73.063,20836.291
73.894,20569.445
74.724,21266.883
75.554,21681.902
76.384,21593.525
77.215,21757.316
78.045,22320.758
78.875,22078.801
79.706,22387.615
80.536,22279.150
81.366,22233.539
82.196,22169.635
83.027,21726.162
83.857,21117.582
84.687,22352.762
85.517,22009.928
86.348,22218.154
87.178,22226.910
88.008,21745.102
88.838,21380.029
89.669,21266.033
90.499,21211.506
91.329,20429.137
92.160,20475.008
92.990,21093.604
93.820,20769.939
94.650,20240.252
95.481,20151.518
96.311,20367.238
97.141,20174.531
97.971,19401.668
98.802,19510.879
99.632,18978.521
100.462,19039.857
101.292,19810.186
102.123,19576.762
102.953,19408.324
103.783,19469.676
104.614,19926.279
105.444,19748.906
106.274,19480.582
107.104,19744.412
107.935,19501.920
108.765,20042.365
109.595,20189.020
110.425,19290.555
111.256,18654.068
112.086,18674.020
112.916,18417.117
113.746,17988.588
114.577,17388.664
115.407,17786.748
116.237,18025.955
117.068,18024.914
117.898,17611.680
118.728,16776.482
119.558,16191.575
120.389,15999.891
121.219,15764.441
122.049,15470.623
122.879,14988.093
123.710,14913.004
124.540,14790.364
125.370,15114.393
126.200,15264.198
127.031,15276.583
127.861,15340.409
128.691,15365.300
129.522,15556.494
130.352,15684.519
131.182,15427.919
132.012,15096.983
132.843,14941.336
133.673,14733.766
134.503,15296.036
135.333,15513.996
136.164,15193.000
136.994,15082.907
137.824,14934.215
138.654,15124.741
139.485,15313.089
140.315,15151.883
141.145,14638.579
141.976,14101.126
142.806,13564.713
143.636,13431.773
144.466,13402.854
145.297,13309.017
146.127,13465.773
146.957,13421.004
147.787,13315.979
148.618,13128.964
149.448,12990.211
150.278,12841.932
151.108,12768.117
151.939,12543.923
152.769,12300.911
153.599,12123.466
154.430,11939.749
155.260,11618.349
156.090,11683.485
156.920,11905.854
157.751,12299.887
158.581,12221.506
159.411,12097.562
160.241,12328.073
161.072,12872.174
161.902,12662.170
162.732,12285.732
163.562,12359.806
164.393,13139.202
165.223,13128.109
166.053,13143.085
166.883,13327.028
167.714,13414.688
168.544,13441.960
169.374,13364.551
170.205,14023.887
171.035,13853.438
171.865,13783.308
172.695,13103.636
173.526,13069.749
174.356,12731.766
175.186,12687.761
176.016,12189.291
176.847,11813.315
177.677,11435.230
178.507,11633.717
179.337,11551.271
180.168,11413.413
180.998,11652.676
181.828,11846.979
182.659,11734.400
183.489,11233.372
184.319,10799.773
185.149,10980.600
185.980,11138.773
186.810,10729.794
187.640,11044.960
188.470,11017.502
189.301,11105.478
190.131,11611.028
190.961,12354.105
191.791,12324.745
192.622,13069.692
193.452,13346.992
194.282,12804.377
195.113,12143.381
195.943,11808.097
196.773,11183.409
197.603,10880.275
198.434,11181.126
199.264,11892.647
200.094,13598.178
200.924,13817.162
201.755,13329.049
202.585,13034.300
203.415,13898.781
204.245,14222.349
205.076,14449.117
205.906,14901.551
206.736,14939.587
207.567,14327.234
208.397,13426.685
209.227,13383.068
210.057,14444.223
210.888,15660.951
211.718,16184.089
212.548,16835.871
213.378,17288.268
214.209,17107.162
215.039,17014.574
215.869,17106.061
216.699,17172.754
217.530,16516.264
218.360,16414.898
219.190,17304.914
220.021,17513.449
220.851,18002.490
221.681,18597.854
222.511,18857.215
223.342,17946.971
224.172,16882.906
225.002,16635.355
225.832,17261.457
226.663,16696.570
227.493,16451.129
228.323,16642.482
229.153,16178.183
