Distance_(microns),Gray_Value
0.000,13653.198
0.830,14340.874
1.661,15917.102
2.491,15718.510
3.321,15570.251
4.151,17554.246
4.982,17866.090
5.812,17726.453
6.642,18655.822
7.472,18911.475
8.303,19845.830
9.133,19594.562
9.963,19160.109
10.793,18637.543
11.624,18740.818
12.454,18488.373
13.284,17412.555
14.115,17098.102
14.945,16679.910
15.775,16959.365
16.605,16542.539
17.436,16519.729
18.266,16721.355
19.096,16889.279
19.926,18274.660
20.757,18277.713
21.587,17785.717
22.417,17825.242
23.247,18419.887
24.078,17008.854
24.908,16271.089
25.738,16787.275
26.569,15843.081
27.399,15650.660
28.229,15025.898
29.059,14187.400
29.890,15256.021
30.720,14599.349
31.550,14946.425
32.380,15347.745
33.211,15033.632
34.041,15234.866
34.871,15290.198
35.701,15395.089
36.532,15662.619
37.362,15729.692
38.192,15748.198
39.023,14833.729
39.853,15049.660
40.683,14613.453
41.513,14320.919
42.344,14383.324
43.174,14571.761
44.004,13799.640
44.834,14456.032
45.665,14085.364
46.495,15215.340
47.325,15038.068
48.155,14465.838
48.986,15156.785
49.816,15341.534
50.646,15401.247
51.477,15376.826
52.307,14755.409
53.137,15008.466
53.967,14538.000
54.798,15431.219
55.628,14821.142
56.458,14709.417
57.288,14788.470
58.119,14684.149
58.949,13834.968
59.779,14032.632
60.609,14802.979
61.440,14163.049
62.270,14224.879
63.100,14516.522
63.930,13864.466
64.761,13859.936
65.591,14087.121
66.421,14169.400
67.252,13817.300
68.082,14216.356
68.912,14182.721
69.742,14136.268
70.573,13311.672
71.403,14300.154
72.233,14733.315
73.063,13826.664
73.894,14647.117
74.724,14048.587
75.554,14018.996
76.384,13894.336
77.215,14473.628
78.045,13744.215
78.875,14010.474
79.706,14961.510
80.536,14055.142
81.366,14687.951
82.196,14924.198
83.027,15572.700
83.857,15076.692
84.687,15238.466
85.517,14622.911
86.348,14808.604
87.178,14943.992
88.008,13865.656
88.838,14499.575
89.669,14705.146
90.499,15191.146
91.329,14634.183
92.160,14274.619
92.990,14059.271
93.820,13465.073
94.650,14530.230
95.481,13525.777
96.311,13262.438
97.141,12774.817
97.971,12186.680
98.802,11174.672
99.632,11171.766
100.462,10379.364
101.292,9943.494
102.123,9490.822
102.953,8607.053
103.783,7611.259
104.614,7188.122
105.444,6889.757
106.274,6754.579
107.104,5879.530
107.935,6005.939
108.765,5801.769
109.595,5346.712
110.425,5677.012
111.256,5504.939
112.086,5735.016
112.916,5828.506
113.746,5927.020
114.577,5934.721
115.407,5689.680
116.237,5537.454
117.068,5744.251
117.898,5275.458
118.728,5017.684
119.558,4929.793
120.389,5082.903
121.219,4851.259
122.049,5188.470
122.879,4867.490
123.710,4813.854
124.540,4866.008
125.370,4529.085
126.200,4458.676
127.031,4370.559
127.861,4368.142
128.691,4192.247
129.522,4475.587
130.352,4404.692
131.182,4201.858
132.012,4217.077
132.843,4295.235
133.673,4395.494
134.503,4170.380
135.333,4344.219
136.164,4167.401
136.994,3839.964
137.824,4038.542
138.654,4294.555
139.485,4485.976
140.315,4317.692
141.145,4169.263
141.976,4360.360
142.806,4881.899
143.636,5477.866
144.466,6045.207
145.297,6938.239
146.127,7130.959
146.957,8768.717
147.787,9200.879
148.618,9191.968
149.448,10633.713
150.278,11057.364
151.108,12127.672
151.939,12936.607
152.769,13182.506
153.599,13839.709
154.430,13980.183
155.260,13994.785
156.090,14809.522
156.920,15095.704
157.751,15658.162
158.581,16072.623
159.411,15322.474
160.241,15300.851
161.072,15460.481
161.902,15837.291
162.732,15724.721
163.562,15413.519
164.393,16248.409
165.223,15150.932
166.053,15573.753
166.883,15449.510
167.714,15643.457
168.544,15204.462
169.374,14769.474
170.205,14729.741
171.035,15157.227
171.865,15268.353
172.695,15407.396
173.526,14815.053
174.356,15155.976
175.186,15178.972
176.016,15195.502
176.847,14589.130
177.677,14698.227
178.507,14591.466
179.337,14427.024
180.168,14464.988
180.998,14014.761
181.828,14816.866
182.659,14693.866
183.489,14536.964
184.319,14164.149
185.149,14667.470
185.980,14925.547
186.810,15484.555
187.640,14842.481
188.470,15750.777
189.301,15768.579
190.131,15328.206
190.961,15688.579
191.791,16311.770
192.622,15675.142
193.452,15477.826
194.282,15550.198
195.113,15773.802
195.943,15711.600
196.773,16238.194
197.603,15616.230
198.434,16186.113
199.264,15014.623
200.094,15359.623
200.924,14856.077
201.755,15005.061
202.585,14841.320
203.415,15444.777
204.245,15187.068
205.076,14960.543
205.906,15618.891
206.736,15615.842
207.567,15620.441
208.397,15399.409
209.227,16333.211
210.057,15568.538
210.888,15354.449
211.718,15832.766
212.548,15622.466
213.378,15768.356
214.209,15527.372
215.039,16051.271
215.869,15880.826
216.699,16083.660
217.530,15404.445
218.360,16253.883
219.190,16898.748
220.021,18165.854
220.851,17589.525
221.681,17461.299
222.511,16880.246
223.342,17413.393
224.172,17202.732
225.002,17717.891
225.832,17568.182
226.663,17614.033
227.493,18229.150
228.323,17972.457
229.153,17415.072
229.984,18137.434
230.814,18163.029
231.644,17959.199
232.475,18560.260
233.305,19419.748
234.135,18850.057
234.965,19541.932
235.796,18936.105
236.626,18907.672
237.456,18000.340
238.286,17365.283
239.117,18374.438
239.947,18582.984
240.777,18359.863
241.607,17155.838
242.438,17420.012
243.268,17284.688
244.098,17022.709
244.929,16436.910
245.759,16419.344
246.589,15829.421
247.419,15417.636
248.250,15663.770
249.080,15673.234
249.910,15535.117
250.740,16109.543
251.571,16187.194
252.401,16612.449
253.231,16269.834
254.061,16323.522
254.892,16336.785
255.722,15784.158
256.552,16186.429
257.383,15682.766
258.213,15454.344
259.043,15850.830
259.873,15871.449
260.704,15937.438
261.534,16188.595
262.364,15123.385
263.194,16344.725
264.025,16036.183
264.855,16461.766
265.685,16382.826
266.515,15212.862
267.346,16086.462
268.176,15978.077
269.006,15134.632
269.837,15880.105
270.667,16478.137
271.497,16479.385
272.327,15812.138
273.158,15210.036
273.988,16059.555
274.818,15821.490
275.648,16071.429
276.479,15556.170
277.309,16016.543
278.139,15943.036
278.969,16036.162
279.800,15676.996
280.630,15797.960
281.460,15194.081
282.290,14942.810
283.121,16250.344
283.951,15669.830
284.781,15411.490
285.612,15528.315
286.442,15523.187
287.272,15604.434
288.102,15985.308
288.933,15073.851
289.763,15169.737
290.593,14879.628
291.423,15240.353
292.254,14841.227
293.084,15630.562
293.914,16181.441
294.745,16190.466
295.575,16141.466
296.405,15148.485
297.235,15689.340
298.066,16264.117
298.896,15956.008
299.726,15834.672
300.556,16350.660
301.387,16778.498
302.217,15686.515
303.047,16468.445
303.877,16341.996
304.708,16438.404
305.538,16832.701
306.368,16977.902
307.198,15560.834
308.029,15771.502
308.859,15726.502
309.689,15478.381
310.520,16279.996
311.350,15923.923
312.180,16185.717
313.010,15548.372
313.841,15195.988
314.671,15211.105
315.501,15259.498
316.331,14351.547
317.162,15476.230
317.992,15246.611
318.822,15881.158
319.652,16464.072
320.483,15569.685
321.313,16505.449
322.143,15267.709
322.974,16355.668
323.804,16242.377
324.634,16269.972
325.464,16405.256
326.295,16122.109
327.125,16281.822
327.955,16519.102
328.785,16260.049
329.616,16184.883
330.446,16029.154
331.276,16380.543
332.106,15845.162
332.937,16071.466
333.767,16777.162
334.597,16490.574
335.428,16868.936
336.258,16059.628
337.088,16685.441
337.918,16523.441
338.749,15907.615
339.579,16250.515
340.409,15763.251
341.239,15910.012
342.070,15644.142
342.900,15700.822
343.730,15640.883
344.560,14927.688
345.391,15580.187
346.221,15499.676
347.051,15227.968
347.882,15268.543
348.712,14732.870
349.542,14981.813
350.372,15919.943
351.203,15092.183
352.033,14773.068
352.863,15002.134
353.693,16353.515
354.524,16318.611
355.354,15549.425
356.184,16318.842
357.014,16536.762
357.845,16642.324
358.675,17044.234
359.505,17200.166
360.336,16439.652
361.166,16185.324
361.996,16454.531
362.826,16631.445
363.657,16862.260
364.487,15795.283
365.317,15826.187
366.147,16795.211
366.978,16237.992
367.808,16317.364
368.638,16486.773
369.468,16536.223
370.299,16618.777
371.129,16863.479
371.959,15985.632
372.790,16360.425
373.620,16294.130
374.450,15497.434
375.280,15977.566
376.111,15213.870
376.941,15746.183
377.771,15552.838
378.601,16003.462
379.432,15972.332
380.262,15853.591
381.092,15799.879
381.922,16433.729
382.753,16564.596
383.583,15813.696
384.413,16662.174
385.243,16736.482
386.074,16609.498
386.904,16405.453
387.734,16793.551
388.565,16649.219
389.395,16616.234
390.225,16490.588
391.055,17187.619
391.886,17378.631
392.716,16943.988
393.546,17190.924
394.376,17671.510
395.207,16389.578
396.037,16690.506
396.867,16454.846
397.698,16994.465
398.528,17692.826
399.358,16677.906
400.188,16292.907
401.019,17165.857
401.849,18574.850
402.679,17903.592
403.509,17412.955
404.340,17097.430
405.170,16733.199
406.000,16362.206
406.830,17252.977
407.661,16792.725
408.491,16534.494
409.321,15930.680
410.151,15510.385
410.982,15780.068
411.812,15947.478
412.642,15740.251
413.473,16267.113
414.303,16200.008
415.133,15860.227
415.963,16050.891
416.794,16618.822
417.624,15780.073
418.454,15407.680
419.284,15988.753
420.115,16454.252
420.945,16178.393
421.775,16182.183
422.605,16808.781
423.436,16357.538
424.266,16088.741
425.096,15606.279
425.927,16388.381
426.757,15573.834
427.587,16238.466
428.417,14920.785
429.248,15738.008
430.078,16149.061
430.908,15168.097
431.738,15929.028
432.569,15262.166
433.399,15834.494
434.229,15178.183
435.059,15061.745
435.890,14103.773
436.720,15552.543
437.550,15688.628
438.381,15274.012
439.211,16576.801
440.041,16666.166
440.871,17145.875
441.702,17022.344
442.532,16649.895
443.362,16373.571
444.192,15771.239
445.023,16251.239
445.853,16409.430
446.683,16016.170
447.513,16594.996
448.344,16774.230
449.174,16825.510
450.004,16037.579
450.835,15718.138
451.665,16201.510
452.495,16128.651
453.325,17080.186
454.156,16757.189
454.986,17309.652
455.816,17652.627
456.646,17358.045
457.477,17154.193
458.307,17085.441
459.137,17079.396
459.967,17120.811
460.798,16517.611
461.628,15379.413
462.458,15894.389
463.289,16794.299
464.119,16560.955
464.949,16766.094
465.779,16401.033
466.610,16996.645
467.440,16772.396
468.270,17485.914
469.100,16896.627
469.931,18283.539
470.761,18241.781
471.591,18643.438
472.421,19351.150
473.252,18213.193
474.082,18622.064
474.912,18178.535
475.743,17247.574
476.573,18875.939
477.403,18887.320
478.233,19325.377
479.064,21098.744
479.894,21005.037
480.724,20022.268
481.554,19524.287
482.385,20397.924
483.215,20210.465
484.045,21292.980
484.875,20381.426
485.706,19944.053
486.536,20078.199
487.366,19028.408
488.197,18570.834
489.027,17785.701
489.857,18368.914
490.687,19300.291
491.518,19446.660
492.348,19357.754
493.178,19920.943
494.008,20382.490
