Distance_(microns),Gray_Value
0.000,14638.263
0.830,14246.761
1.661,14361.247
2.491,14902.732
3.321,15389.263
4.151,15767.344
4.982,16496.996
5.812,16729.465
6.642,17623.984
7.472,19327.789
8.303,19335.207
9.133,19161.490
9.963,18853.834
10.793,17811.857
11.624,16826.822
12.454,16602.465
13.284,16001.275
14.115,15514.162
14.945,14800.737
15.775,14685.263
16.605,14698.992
17.436,14759.312
18.266,14445.105
19.096,14075.360
19.926,14252.263
20.757,14180.566
21.587,14297.377
22.417,14928.851
23.247,14657.409
24.078,15111.202
24.908,15279.595
25.738,15622.109
26.569,15102.611
27.399,14935.134
28.229,15345.996
29.059,15076.178
29.890,15409.170
30.720,15102.510
31.550,15022.024
32.380,15075.927
33.211,15736.134
34.041,16226.405
34.871,16287.187
35.701,15986.279
36.532,16241.413
37.362,15900.895
38.192,16386.582
39.023,16482.514
39.853,16213.895
40.683,16424.709
41.513,16401.773
42.344,16002.417
43.174,15290.692
44.004,15597.777
44.834,15805.656
45.665,15440.117
46.495,15824.481
47.325,15595.194
48.155,16058.866
48.986,16446.143
49.816,16595.121
50.646,16881.426
51.477,16639.299
52.307,16112.324
53.137,16141.543
53.967,16115.745
54.798,16063.903
55.628,15852.085
56.458,16087.381
57.288,16358.988
58.119,16289.789
58.949,16003.360
59.779,15630.073
60.609,15548.113
61.440,16501.600
62.270,16119.202
63.100,16807.672
63.930,16915.381
64.761,16164.858
65.591,16530.611
66.421,16510.105
67.252,16500.230
68.082,17061.785
68.912,16603.430
69.742,16631.189
70.573,16641.971
71.403,16827.906
72.233,16686.850
73.063,16416.219
73.894,15836.340
74.724,16396.486
75.554,16865.211
76.384,16738.430
77.215,16195.604
78.045,15745.356
78.875,15653.268
79.706,15536.012
80.536,15321.732
81.366,14952.579
82.196,15092.830
83.027,14591.206
83.857,14124.996
84.687,14957.898
85.517,14717.555
86.348,14318.895
87.178,14390.247
88.008,14086.983
88.838,14378.737
89.669,14816.903
90.499,14679.704
91.329,14309.947
92.160,14495.923
92.990,13915.879
93.820,13899.134
94.650,14271.381
95.481,14612.822
96.311,15144.360
97.141,15630.862
97.971,15008.822
98.802,15265.481
99.632,14757.255
100.462,14376.174
101.292,15206.356
102.123,15613.680
102.953,15641.421
103.783,14839.651
104.614,15325.903
105.444,15492.672
106.274,15316.187
107.104,15367.490
107.935,14937.255
108.765,15486.421
109.595,15331.017
110.425,15197.604
111.256,15103.255
112.086,15091.409
