Distance_(microns),Gray_Value
0.000,13602.903
0.830,14301.968
1.661,13711.923
2.491,13379.202
3.321,13063.315
4.151,13498.600
4.982,12981.753
5.812,12551.732
6.642,11988.336
7.472,11611.547
8.303,11167.571
9.133,11175.162
9.963,11060.932
10.793,10414.591
11.624,10574.174
12.454,10734.396
13.284,10758.879
14.115,10061.696
14.945,10718.393
15.775,10988.421
16.605,11739.879
17.436,11819.551
18.266,12413.064
19.096,12626.457
19.926,13323.170
20.757,13071.049
21.587,13175.955
22.417,13539.887
23.247,13957.632
24.078,13685.651
24.908,13416.547
25.738,13491.798
26.569,14084.846
27.399,14381.660
28.229,14275.243
29.059,14367.600
29.890,14236.870
30.720,14380.187
31.550,14537.672
32.380,13976.425
33.211,14117.785
34.041,14555.012
34.871,14563.911
35.701,14523.802
36.532,15291.138
37.362,14546.445
38.192,14357.660
39.023,14443.413
39.853,14505.036
40.683,14764.109
41.513,14690.813
42.344,14932.206
43.174,14518.656
44.004,14946.964
44.834,14796.219
45.665,15720.021
46.495,15683.583
47.325,14855.336
48.155,14664.268
48.986,13984.234
49.816,14844.149
50.646,14880.130
51.477,14872.462
52.307,14561.915
53.137,14347.713
53.967,15343.490
54.798,14880.817
55.628,15086.688
56.458,14609.032
57.288,14750.053
58.119,14929.955
58.949,14963.770
59.779,14901.049
60.609,15003.445
61.440,14459.587
62.270,15123.870
63.100,14703.898
63.930,14357.247
64.761,14718.810
65.591,14732.368
66.421,15160.064
67.252,15196.972
68.082,15377.271
68.912,15251.166
69.742,15031.449
70.573,15202.789
71.403,15597.680
72.233,15442.725
73.063,15398.211
73.894,15347.923
74.724,15757.688
75.554,14751.000
76.384,15309.332
77.215,15881.802
78.045,15603.522
78.875,15724.089
79.706,15919.668
80.536,15619.562
81.366,15541.866
82.196,15768.817
83.027,16100.332
83.857,15100.773
84.687,15745.036
85.517,15489.328
86.348,15777.470
87.178,15272.198
88.008,15754.089
88.838,15456.834
89.669,15835.983
90.499,15858.619
91.329,15320.481
92.160,15520.036
92.990,16066.632
93.820,15747.438
94.650,15929.802
95.481,15536.538
96.311,15236.470
97.141,15540.287
97.971,15867.632
98.802,14887.291
99.632,14796.470
100.462,15155.142
101.292,15373.591
102.123,15360.870
102.953,15204.632
103.783,14757.947
104.614,14759.936
105.444,14955.085
106.274,14553.008
107.104,14593.138
107.935,14368.854
108.765,14174.413
109.595,14324.336
110.425,14165.854
111.256,14104.866
112.086,13997.777
112.916,13819.761
113.746,13750.130
114.577,13423.466
115.407,13611.429
116.237,13175.996
117.068,14066.766
117.898,13960.154
118.728,13907.142
119.558,13660.170
120.389,13598.425
121.219,13665.947
122.049,13890.745
122.879,13668.651
123.710,13829.328
124.540,13809.923
125.370,13542.061
126.200,13906.729
127.031,14136.441
127.861,14042.089
128.691,13690.943
129.522,13295.198
130.352,12790.368
131.182,13039.951
132.012,12859.300
132.843,12609.587
133.673,12823.349
134.503,12786.211
135.333,13023.972
136.164,13352.502
136.994,12908.332
137.824,12721.421
138.654,12180.838
139.485,12190.187
