Protein.Group	Protein.Names	Genes	First.Protein.Description	/ip-proteomics/ms-convert-output/2ul_CG_1.mzML	/ip-proteomics/ms-convert-output/2ul_CG_2.mzML	/ip-proteomics/ms-convert-output/2ul_CG_3.mzML	/ip-proteomics/ms-convert-output/2ul_CG_4.mzML	/ip-proteomics/ms-convert-output/2ul_CG_5.mzML	/ip-proteomics/ms-convert-output/2ul_CG_6.mzML	/ip-proteomics/ms-convert-output/2ul_CG_7.mzML	/ip-proteomics/ms-convert-output/2ul_CG_8.mzML	/ip-proteomics/ms-convert-output/2ul_CG_9.mzML	/ip-proteomics/ms-convert-output/2ul_CG_10.mzML
P08556	RASN_MOUSE	Nras	GTPase NRas	3889.92	12030.4	6902.78						1995.56	
P08730	K1C13_MOUSE	Krt13	Keratin, type I cytoskeletal 13					3055.42			3409.5		17765.4
P08752	GNAI2_MOUSE	Gnai2	Guanine nucleotide-binding protein G(i) subunit alpha-2	122821	109178	114697	110010	106519	120383	103995	120070	121728	120969
P09103	PDIA1_MOUSE	P4hb	Protein disulfide-isomerase	1156.04	9805.02	2678.79	1691.66	1765.48	2513.36	4888.29	10646.8	1700	
P09242	PPBT_MOUSE	Alpl	Alkaline phosphatase, tissue-nonspecific isozyme	7135.5	16862.4	11540.1	9494.17	7384.07	10022.8	9534.58	9098.86	8423.98	9819.56
P09405	NUCL_MOUSE	Ncl	Nucleolin	17118.3	16630.7	16469.1	16378.7	19358.8	16753.4	14037.8	14825.7	16081.8	14353.7
P09411	PGK1_MOUSE	Pgk1	Phosphoglycerate kinase 1	2562.22	10958.4	2511.85		3287.71	4200.38	5911.76	7208.42	2413.81	2526.45
P09541	MYL4_MOUSE	Myl4	Myosin light chain 4	1326.06		2234.15	2462.83			3224.94	1514.23	2276.26	
P09671	SODM_MOUSE	Sod2	Superoxide dismutase [Mn], mitochondrial	340.378	5309.03	1178.93	2708.91		3391.06	2905.44	3664.47	1186.2	2918.6
P0C090	RC3H2_MOUSE	Rc3h2	Roquin-2	1368.34		1316.23							
P0C0S6;Q3THW5	H2AV_MOUSE;H2AZ_MOUSE	H2az1;H2az2	Histone H2A.Z	42099.1	217305	209606	164763	283366	123603	87282.4	45685.4	90297.9	72195.5
P0C192	LRC4B_MOUSE	Lrrc4b	Leucine-rich repeat-containing protein 4B	742.375	3153.4		1486.49	1414.31		1066.01	1057.84	753.125	730.757
P0DP26;P0DP27;P0DP28	CALM1_MOUSE;CALM2_MOUSE;CALM3_MOUSE	Calm1;Calm2;Calm3	Calmodulin-1	116314	79905.8	137974	110325	166272	126390	121118	157070	127918	120627
P0DP60	LYNX1_MOUSE	Lynx1	Ly-6/neurotoxin-like protein 1	71318.8	40266.8	58843.6	64264.1	64632.6	59337.4	61024.5	60776	62501.6	64741.1
P10107	ANXA1_MOUSE	Anxa1	Annexin A1								13183.9		11767.8
P10126	EF1A1_MOUSE	Eef1a1	Elongation factor 1-alpha 1	50145.8	113889	43445	45136.5	54712.2	54128.3	96268.3	132438	41419.7	41066
P10605	CATB_MOUSE	Ctsb	Cathepsin B	1600.7	8480.03								
P10630	IF4A2_MOUSE	Eif4a2	Eukaryotic initiation factor 4A-II	1204.15							824.257		
P10637	TAU_MOUSE	Mapt	Microtubule-associated protein tau	8961.6	22026.2	12013.7	12489.2	13991.5	14771.9	12977.2	11756.8	9944.7	10635.4
P10639	THIO_MOUSE	Txn	Thioredoxin	4989.33	17076.9		5270.22		6131.8	9830.99	6303.56	4180.89	4075.02
P10810	CD14_MOUSE	Cd14	Monocyte differentiation antigen CD14	10814.5									
P10852	4F2_MOUSE	Slc3a2	Amino acid transporter heavy chain SLC3A2	1604.84	5873.77	4924.9		6997.96	84383.8	7459.19	57423.2	4209.66	89020.2
P10853;Q64475;Q8CGP1;Q8CGP2	H2B1B_MOUSE;H2B1F_MOUSE;H2B1K_MOUSE;H2B1P_MOUSE	H2bc12;H2bc15;H2bc3;Hist1h2bp	Histone H2B type 1-F/J/L	722600	3.11845e+06	3.64716e+06	2.69625e+06	4.79728e+06	2.41522e+06	1.7509e+06	939621	1.44432e+06	1.34157e+06
P10922	H10_MOUSE	H1-0	Histone H1.0	25141.2	83486.9	91940.8	74126.1	125930	57106.9	40615.5	25640	41408.2	33546.1
P11031	TCP4_MOUSE	Sub1	Activated RNA polymerase II transcriptional coactivator p15	6501.06	30152.1	6846.36	10126.1	10649.7	7601.41	9763.43	8805.41	7364.75	7272.69
P11103	PARP1_MOUSE	Parp1	Poly [ADP-ribose] polymerase 1	5749.06	12548.7	6213.84	7371.49	11276.5	4755.96	6360.05	2666.01	5117.5	4114.91
P11276	FINC_MOUSE	Fn1	Fibronectin	2219.73		4020.81	10357.6	3856.62	9057.79	6638.02	7202.99	3157.8	9023
P11352	GPX1_MOUSE	Gpx1	Glutathione peroxidase 1	17238.4	8480	12451.4	11618.5	14484.3	10947.4	13658	11976.1	12439.1	10974.3
P11438	LAMP1_MOUSE	Lamp1	Lysosome-associated membrane glycoprotein 1	332.617	9260.82			1711.87		2551.57	1840.08	1415.04	
P11499	HS90B_MOUSE	Hsp90ab1	Heat shock protein HSP 90-beta	22703.4	29966.3	20265.5	20358.3	26388.5	25890.1	21496.4	31804.4	18280.3	17315.4
P11531	DMD_MOUSE	Dmd	Dystrophin	65312.6	171570	84002.8	89636.6	87344.9	87486.9	96978.1	84855.4	87808.3	92475.5
P11627	L1CAM_MOUSE	L1cam	Neural cell adhesion molecule L1	12580.4	14884.8	14537.8	14180.2	15251.6	15192.5	11350.2	12438.4	13634.4	12302.2
P11798	KCC2A_MOUSE	Camk2a	Calcium/calmodulin-dependent protein kinase type II subunit alpha	797472	742865	973774	988429	787459	893711	768139	799955	668695	784460
P11881	ITPR1_MOUSE	Itpr1	Inositol 1,4,5-trisphosphate receptor type 1	4041.68	7142.5	8010.25	7219.34	12653.8	6711.31	11030.4	5299	7179.79	5475.56
P11983	TCPA_MOUSE	Tcp1	T-complex protein 1 subunit alpha	17791	29677.2	17754.4	16525.6	23718	24136.8	17744.3	17536.7	15275.3	15100.4
P12023	A4_MOUSE	App	Amyloid-beta precursor protein	1656.28	2760.59	2441.01	1217.01	1793.88	2681.45	2680.7	2012.85	2617.68	1635.77
P12025	MK_MOUSE	Mdk	Midkine	953.407	20507.9	2866.57	4202.57	4460.4	4429.16	3895.71	2957.01	2741.08	4794.33
P12367	KAP2_MOUSE	Prkar2a	cAMP-dependent protein kinase type II-alpha regulatory subunit	34556.8	27838.1	36239.2	36577.2	33477.1	36501.8	32086.6	32497.5	34235	34921.6
P12382	PFKAL_MOUSE	Pfkl	ATP-dependent 6-phosphofructokinase, liver type	4599.59	8316.16	4919.27	6719.22	5699.67	7387.51	5512.47	5911.77	5177.83	5344.09
P12657	ACM1_MOUSE	Chrm1	Muscarinic acetylcholine receptor M1	13180.3	7849.78	7950.58	7875.2	9074.23	6318.87	6857.43	6977.36	7650.4	6743.29
P12787	COX5A_MOUSE	Cox5a	Cytochrome c oxidase subunit 5A, mitochondrial	8672.42									
P12815	PDCD6_MOUSE	Pdcd6	Programmed cell death protein 6				11449		8960.81		7497.28		
P12849	KAP1_MOUSE	Prkar1b	cAMP-dependent protein kinase type I-beta regulatory subunit	16543.7	5870.17	6696.38	4750.51	7201.78	5897.8	5789.58	4991.41	6112.79	5262.27
P12960	CNTN1_MOUSE	Cntn1	Contactin-1	435966	327134	442186	421392	397869	427822	441090	477173	485532	446452
P12970	RL7A_MOUSE	Rpl7a	Large ribosomal subunit protein eL8	148453	72417.1	115400	111565	120293	108723	109878	118953	118431	111628
P13020	GELS_MOUSE	Gsn	Gelsolin	36482.7	42327.3	37188.7	69350.5	40834.5	71414.5	39552	61056	38129.3	66470.9
P13541	MYH3_MOUSE	Myh3	Myosin-3									1360.75	
P13595	NCAM1_MOUSE	Ncam1	Neural cell adhesion molecule 1	144876	132000	158042	144968	158101	166028	133996	151714	164643	154321
P14094	AT1B1_MOUSE	Atp1b1	Sodium/potassium-transporting ATPase subunit beta-1	61315.3	93050.1	60745.3	52171	64358.9	62411.8	65979.6	59180.8	60741.9	56465.3
P14106	C1QB_MOUSE	C1qb	Complement C1q subcomponent subunit B	32649	2.00668e+06	169209	296378	259910	249837	264792	184314	133560	230093
P14115	RL27A_MOUSE	Rpl27a	Large ribosomal subunit protein uL15	181668	117183	192458	173161	184352	175179	180184	184175	188213	170874
P14131	RS16_MOUSE	Rps16	Small ribosomal subunit protein uS9	66825.8	93700.9	63587.2	61098.9	66215	65838.8	67559.4	68184.5	65208.6	61342.6
P14148	RL7_MOUSE	Rpl7	Large ribosomal subunit protein uL30	95687	43270.3	68591.2	59088.7	69406.3	55910.6	66484	67179.1	70714.5	75409.9
P14152	MDHC_MOUSE	Mdh1	Malate dehydrogenase, cytoplasmic	5192.72	18747.3	5170.06		6618.5	8600.89	6892.18	13778.5	5887.31	6376.34
P14206	RSSA_MOUSE	Rpsa	Small ribosomal subunit protein uS2	1557.35	10516.7	1419.67		1456.45	2503.49	4072.65	9062.57	1260.46	1777.01
P14211	CALR_MOUSE	Calr	Calreticulin	1356.87	9556.86			3008.09	2605.01	2763.11	3355.51	1980.07	1747.98
P14231	AT1B2_MOUSE	Atp1b2	Sodium/potassium-transporting ATPase subunit beta-2	8311.31	41835.6	15918.3	9530.62	20730.4	14879.9	19357.3	12380.4	13331.9	12246.1
P14602	HSPB1_MOUSE	Hspb1	Heat shock protein beta-1		6377.66					21811.5	35236.5		
P14685	PSMD3_MOUSE	Psmd3	26S proteasome non-ATPase regulatory subunit 3	15116.9	29313.3	16207.3	18875.6	20752.3	17031.2	17109.6	20703	16029	18038.6
P14733	LMNB1_MOUSE	Lmnb1	Lamin-B1	11765.4	59755.6	58191	48789.2	77954.9	42188.2	27949.2	17072.8	26015.4	21820.8
P14824	ANXA6_MOUSE	Anxa6	Annexin A6	5987.75									
P14869	RLA0_MOUSE	Rplp0	Large ribosomal subunit protein uL10	154410	98655.5	123765	108968	126942	117048	121838	124957	123936	118613
P14873	MAP1B_MOUSE	Map1b	Microtubule-associated protein 1B	301733	135966	221924	132526	309409	146847	276861	136171	222470	119201
P15105	GLNA_MOUSE	Glul	Glutamine synthetase	59131.4	50816.7	36351.9	38366.3	33392.3	36301.2	36401.1	35542.5	29604.3	31493.1
P15116	CADH2_MOUSE	Cdh2	Cadherin-2	69491.9	56114.9	65237.1	65097.9	58971.1	64772.1	59224.7	61858.8	64272.3	67148.2
P15331	PERI_MOUSE	Prph	Peripherin	10617.8	13285.5	15724.7	16677.1	20426	18330.8	16761.8	17415.9	21175	20899.4
P15388	KCNC1_MOUSE	Kcnc1	Potassium voltage-gated channel subfamily C member 1	480.738									
P15508	SPTB1_MOUSE	Sptb	Spectrin beta chain, erythrocytic	40154.8	36590.9	46598.8	45083.7	40666.9	42718.1	45536.7	48032.3	52562.6	49192.7
P15864	H12_MOUSE	H1-2	Histone H1.2	80636	288304	449406	339621	619487	300147	171255	104540	174043	148139
P15920	VPP2_MOUSE	Atp6v0a2	V-type proton ATPase 116 kDa subunit a 2	3132.75									
P16014	SCG1_MOUSE	Chgb	Secretogranin-1			24461.2		33116.2		31795.4		18366.3	
P16054	KPCE_MOUSE	Prkce	Protein kinase C epsilon type	2297.21	4952.65	2249.34	2192.81		2873.03	2093.2	2431.27	1722.95	1430.11
P16110	LEG3_MOUSE	Lgals3	Galectin-3		91563						20256.7		
P16125	LDHB_MOUSE	Ldhb	L-lactate dehydrogenase B chain	1421.02	16607.8	1516.33	2020.22	1852.79	3731.65	4036.74	2489.22	1555.72	1728.95
P16254	SRP14_MOUSE	Srp14	Signal recognition particle 14 kDa protein	2171.37		2175.88			3194.24		3139.4	3182.74	
P16283	B3A3_MOUSE	Slc4a3	Anion exchange protein 3	8620.42		3364.89	5069.9		3838.06		2012.05	3093.48	
P16330	CN37_MOUSE	Cnp	2',3'-cyclic-nucleotide 3'-phosphodiesterase	105623	91672.4	85937.1	77434.5	87956.1	89849.3	62092.4	59854.5	68838.6	63030.1
P16388	KCNA1_MOUSE	Kcna1	Potassium voltage-gated channel subfamily A member 1	16797.3		21427.4	21344.9	19270	24520.9	18398.9	16377.6	17165.7	18438.5
P16390	KCNA3_MOUSE	Kcna3	Potassium voltage-gated channel subfamily A member 3	1493.89		1443.18		1555.92	2388.39			2385.13	2526.3
P16546	SPTN1_MOUSE	Sptan1	Spectrin alpha chain, non-erythrocytic 1	718748	620585	866948	820569	797584	815402	874018	895657	951001	929395
P16627	HS71L_MOUSE	Hspa1l	Heat shock 70 kDa protein 1-like	2536.28	9138.43	2865.38	2815.3	3874.47	2994.2	6252.38	8870.07	2578.27	2702.63
P16858	G3P_MOUSE	Gapdh	Glyceraldehyde-3-phosphate dehydrogenase	34542.2	132749	34625.9	41053.4	43036.3	47361.3	60228.6	52132.7	34615.3	39966
P17095	HMGA1_MOUSE	Hmga1	High mobility group protein HMG-I/HMG-Y	2236.62		4183.01		9316.11			2405.3	2505.91	
P17156	HSP72_MOUSE	Hspa2	Heat shock-related 70 kDa protein 2	16041.4	23816.5	18133.4	18657.6	18319	18168.5	17724.2	17370.5	17525.5	18025.7
P17182	ENOA_MOUSE	Eno1	Alpha-enolase	13499.2	42486.9	13276.1	15409.7	13038	15943.8	24181.3	23287.9	13592.1	13892.6
P17225	PTBP1_MOUSE	Ptbp1	Polypyrimidine tract-binding protein 1	6305.53		6470.57	4211.7	8884	6765.34	8489.96	3903.77	6242.44	3919.54
P17426	AP2A1_MOUSE	Ap2a1	AP-2 complex subunit alpha-1	432497	235725	332927	312172	317536	292501	329591	316578	322746	307831
P17427	AP2A2_MOUSE	Ap2a2	AP-2 complex subunit alpha-2	81037.3	49818.2	61791.6	58906.7	59668.1	55566.2	62560.3	60988.8	61784.7	58499.7
P17710	HXK1_MOUSE	Hk1	Hexokinase-1	5223.81	31373.1	8559.09	8681.67	9027.71	11768.8	10573	8973.78	7609.78	7358.71
P17742	PPIA_MOUSE	Ppia	Peptidyl-prolyl cis-trans isomerase A	11825.3	67169.3	8532.25	10612.3	10419	14072.4	15023.8	24617.1	10262.6	9634.61
P17751	TPIS_MOUSE	Tpi1	Triosephosphate isomerase	16717.9	37522.1	15219.6	17412	17148.1	18448.7	23363	22391.8	14844.1	13984.5
P17809	GTR1_MOUSE	Slc2a1	Solute carrier family 2, facilitated glucose transporter member 1	4719.97	9191.94	3857.07	4329.47	4256.76	5458.41	3868.22	4497.57	5457.29	4743.32
P17879;Q61696	HS71A_MOUSE;HS71B_MOUSE	Hspa1a;Hspa1b	Heat shock 70 kDa protein 1B	3778.68	7604.3	5199.9	5748.65	5480.66	5731.08	8605.25	18616.9	3907.29	5403.69
P17897	LYZ1_MOUSE	Lyz1	Lysozyme C-1	819.132	12502	3700.56	7092.71	4859.22	4709.73	19294.7	5164.07	7173.22	4734.51
P18052	PTPRA_MOUSE	Ptpra	Receptor-type tyrosine-protein phosphatase alpha	1223.1		3154.01					4926.22	2135.76	
P18242	CATD_MOUSE	Ctsd	Cathepsin D	636.977	5123.11		578.356	1571.89	1621.51	1907.01	999.128	822.259	
P18527	HVM56_MOUSE		Ig heavy chain V region 914	7367.29	37131.8						3616.36		
P18529	HVM58_MOUSE		Ig heavy chain V region 5-76	8313.6									
P18760	COF1_MOUSE	Cfl1	Cofilin-1	57466.5	82155.2	69377.9	61274.8	63028.7	66704.7	80534.8	88081.3	79183.2	73921.9
P18872	GNAO_MOUSE	Gnao1	Guanine nucleotide-binding protein G(o) subunit alpha	783754	692843	858690	830421	780324	862223	867539	928994	902784	945394
P19001	K1C19_MOUSE	Krt19	Keratin, type I cytoskeletal 19	5203.29	54011.4					16827.4	16612.7		60400.9
P19096	FAS_MOUSE	Fasn	Fatty acid synthase	55573.6	76546.9	54991.2	54915.4	68959.8	71819	54382.6	50042.8	45742.3	50414.6
P19157;P46425	GSTP1_MOUSE;GSTP2_MOUSE	Gstp1;Gstp2	Glutathione S-transferase P 1	1383.16	13752.5		6013.98			6021.22	13928.2		
P19221	THRB_MOUSE	F2	Prothrombin				6522.19		4119.32		4505.04		6044.86
P19246	NFH_MOUSE	Nefh	Neurofilament heavy polypeptide	186588	186959	189659	193884	214287	234764	205098	234277	245640	244810
P19253	RL13A_MOUSE	Rpl13a	Large ribosomal subunit protein uL13	162402	74790.6	104680	95506.6	102568	88657.6	101533	109195	96822	97975.7
P19536	COX5B_MOUSE	Cox5b	Cytochrome c oxidase subunit 5B, mitochondrial	4685.31	9260.72	7527.94		4607.6	3423.32		19110.5		5645.16
P19783	COX41_MOUSE	Cox4i1	Cytochrome c oxidase subunit 4 isoform 1, mitochondrial	5578.06	20664.5	6013.02	6720.24	6251.82	7787.87	6712.08	6377.24	6286.12	6476.23
P19973	LSP1_MOUSE	Lsp1	Lymphocyte-specific protein 1	528.83	2069.94	490.047		553.157			755.2	682.651	
P20029	BIP_MOUSE	Hspa5	Endoplasmic reticulum chaperone BiP	115748	174911	133135	114856	161996	128590	163657	154721	121872	110555
P20033	PDGFA_MOUSE	Pdgfa	Platelet-derived growth factor subunit A	981.333		800.724					1247.63	931.346	2233.19
P20065;Q6ZWY8	TYB10_MOUSE;TYB4_MOUSE	Tmsb10;Tmsb4x	Thymosin beta-4	846.787		1339	1503.92	1590.67		1456.73	1450.84	1491.28	1268.64
P20108	PRDX3_MOUSE	Prdx3	Thioredoxin-dependent peroxide reductase, mitochondrial	12837.9	15043.8	5860.47	6394.2	6213.13	6702.1	6385.48	6970.69	5125.77	7138.95
P20152	VIME_MOUSE	Vim	Vimentin	82178.8	89133	101167	94528.6	124112	112767	103194	108608	108220	114933
P20357	MTAP2_MOUSE	Map2	Microtubule-associated protein 2	142549	98572.6	47524.9	51080.7	59493.2	53269	53621.4	47945.6	47344.9	48681.1
P20917	MAG_MOUSE	Mag	Myelin-associated glycoprotein	16554.8	18582.9	14769.2	12133.3	14605.5	18957.1	13799	15259.8	15588.3	14128.5
P21107	TPM3_MOUSE	Tpm3	Tropomyosin alpha-3 chain	28728	25695.9	28786.3	25851.1	27200.1	25419.4	29387.4	36064.6	33047.8	32198.9
P21271	MYO5B_MOUSE	Myo5b	Unconventional myosin-Vb	13122.9	33617	15599.9	17775.8	19789.3	20641.3	14281	17837.7	15207.9	19101.5
P21278	GNA11_MOUSE	Gna11	Guanine nucleotide-binding protein subunit alpha-11	29340.3	52101.9	28504.9	33710.5	37030.4	43062.4	40741.6	38517.4	39929.7	42262.4
P21279	GNAQ_MOUSE	Gnaq	Guanine nucleotide-binding protein G(q) subunit alpha	35190.1	35141.6	33509	33756.4	34257.3	37601.5	33399.6	36556.6	34554.6	35523.1
P21460	CYTC_MOUSE	Cst3	Cystatin-C	2599.23		3993.56							
P21619	LMNB2_MOUSE	Lmnb2	Lamin-B2	5612.25	36068.2	24382.3	20486.6	36558.1	18815.2	15779.6	8247.9	13131.9	10437.4
P21956	MFGM_MOUSE	Mfge8	Lactadherin	3072.94		2640.37	4890.93	5553.92	4306.74	3032.07	3280.87	2535.45	3233.57
P22723	GBRG2_MOUSE	Gabrg2	Gamma-aminobutyric acid receptor subunit gamma-2	15844.7	12603	11210.6	14543.4	11976.8	12935.1	13423.9	12687	13097.4	11458.1
P22892	AP1G1_MOUSE	Ap1g1	AP-1 complex subunit gamma-1	888.758		1610.55	1586.01	1766.35	1061.27	1428.48	1626.87	1307.1	1200.83
P22935	RABP2_MOUSE	Crabp2	Cellular retinoic acid-binding protein 2								1707.87		
P23116	EIF3A_MOUSE	Eif3a	Eukaryotic translation initiation factor 3 subunit A	7003.21		7249.66	6444.1	8239.59	8667.56	6156.22	8206.91	7347.27	5980.23
P23198	CBX3_MOUSE	Cbx3	Chromobox protein homolog 3	2420.99	11962	11556.9	9881.5	12831.1	6862.76	6277.99		5169.78	
P23242	CXA1_MOUSE	Gja1	Gap junction alpha-1 protein	238237	148229	202468	188136	182319	174016	194304	186980	220176	196288
P23818	GRIA1_MOUSE	Gria1	Glutamate receptor 1	13292.2	15405.6	17611.6	12900.7	18023.3	13177.3	17049	12690.1	14006.5	11391.9
P23819	GRIA2_MOUSE	Gria2	Glutamate receptor 2	17109.8	21506.5	20012.6	18375	22362.1	18672	20305.2	17564.1	16515.3	15794.5
P23927	CRYAB_MOUSE	Cryab	Alpha-crystallin B chain	2268.3		3874.61	5685.1	5290.77	3481.2		2979.11	2563.84	3327.47
P24270	CATA_MOUSE	Cat	Catalase	4107.24	18299.5	3948.61	5859.77	6318.03	8109.14	11524.5	4913.59	3128.27	5370.77
P24369	PPIB_MOUSE	Ppib	Peptidyl-prolyl cis-trans isomerase B	6286.58	61534	14964.8	29202.7	19821.6	15335.5	20825.8	14686.4	10014.5	12938
P24452	CAPG_MOUSE	Capg	Macrophage-capping protein							3824.9	3744.06		
P24547	IMDH2_MOUSE	Impdh2	Inosine-5'-monophosphate dehydrogenase 2	464.692		4397.31					1812.68		
P25444	RS2_MOUSE	Rps2	Small ribosomal subunit protein uS5	105971	57613.4	74319.9	73601.3	79413	73564.3	73410	82482.4	83248.7	76429.5
P25911	LYN_MOUSE	Lyn	Tyrosine-protein kinase Lyn	71652.3	58461.9	72972.9	72623.8	73846.4	76447.8	67684.4	72901.4	74174.8	83468.6
P25976	UBF1_MOUSE	Ubtf	Nucleolar transcription factor 1	19929.7	54639.9	30225.9	29980.4	33801.9	21804	25365.3	23283.1	21554	23893.3
P26039	TLN1_MOUSE	Tln1	Talin-1	3725.59		6518.91	15668.8		12655		13405.2	6650.76	13646.4
P26040	EZRI_MOUSE	Ezr	Ezrin	2218.6		3248.39		4068.81	2974.91	4317.24	7910.95	2739.82	3322.91
P26041	MOES_MOUSE	Msn	Moesin	1225.46							4059.5	1574.28	
P26043	RADI_MOUSE	Rdx	Radixin	11914	15314.2	10307	11992.2	12591.7	14021.7	16189.1	26561.5	12153	10638.4
P26048	GBRA2_MOUSE	Gabra2	Gamma-aminobutyric acid receptor subunit alpha-2	4402.2					4860.68				
P26049	GBRA3_MOUSE	Gabra3	Gamma-aminobutyric acid receptor subunit alpha-3	2565.07		3659.07	2905.57		2048.52	2524.14	2130.19	3269.82	1416.44
P26151	FCGR1_MOUSE	Fcgr1	High affinity immunoglobulin gamma Fc receptor I	18414.4	934163								
P26231	CTNA1_MOUSE	Ctnna1	Catenin alpha-1	21962	34377.7	21999.1	21444.6	24014.3	22479.6	24173.2	23016.3	26127.3	26451.3
P26369	U2AF2_MOUSE	U2af2	Splicing factor U2AF 65 kDa subunit	28508.7	161788	56018.6	64028	75749.3	65418.1	48561.9	47565.5	45143.5	39841.7
P26443	DHE3_MOUSE	Glud1	Glutamate dehydrogenase 1, mitochondrial	2129.4	19316.5	5143.74	5408.98	7258.43	4880.14	6754.85	4800.44	4247.57	4726.67
P26450	P85A_MOUSE	Pik3r1	Phosphatidylinositol 3-kinase regulatory subunit alpha	745.123						2140.08		620.929	
P26516	PSMD7_MOUSE	Psmd7	26S proteasome non-ATPase regulatory subunit 7	3674.95	7793.54	4364.18	4444.58	4755.88	4201.6	4921.09	5461.44	4922.06	5072.25
P26638	SYSC_MOUSE	Sars1	Serine--tRNA ligase, cytoplasmic	1192.73		1141.32	1436.85		965.472	1436.22	1280.82	1162.13	396.779
P26645	MARCS_MOUSE	Marcks	Myristoylated alanine-rich C-kinase substrate	3047.93	7314.48	3145.65	3004.22	5158.29	5040.42	3217.34	3538.69	3114.79	2892.09
P26883	FKB1A_MOUSE	Fkbp1a	Peptidyl-prolyl cis-trans isomerase FKBP1A	969.176	5372.47	1296.91		2499.14	2082.27	1469.32	1028.48	1214.31	2220.11
P27546	MAP4_MOUSE	Map4	Microtubule-associated protein 4	26762.7	130826	37941.2	60637.1	65613	61652.8	54640	50213.9	38251.7	50638.5
P27600	GNA12_MOUSE	Gna12	Guanine nucleotide-binding protein subunit alpha-12	604.839									
P27601	GNA13_MOUSE	Gna13	Guanine nucleotide-binding protein subunit alpha-13	1133.41		1169.12	1124.93	1175.96		983.87	1482.19	1148.23	1504.56
P27659	RL3_MOUSE	Rpl3	Large ribosomal subunit protein uL3	128849	70668.4	104867	90394.6	95109.8	92702.5	100852	96127	94563.4	102104
P27661	H2AX_MOUSE	H2ax	Histone H2AX	389057	1.24313e+06	1.91513e+06	1.7671e+06	2.87845e+06	1.59496e+06	1.15456e+06	651290	934003	566244
P27671	RGRF1_MOUSE	Rasgrf1	Ras-specific guanine nucleotide-releasing factor 1	508.16					639.04	1312.15	724.481	403.759	
P27773	PDIA3_MOUSE	Pdia3	Protein disulfide-isomerase A3	5135.09							27500.1		
P28028	BRAF_MOUSE	Braf	Serine/threonine-protein kinase B-raf	1410.08		2147.44	3184.24	5323.12				2819	
P28184	MT3_MOUSE	Mt3	Metallothionein-3	253.124									
P28571	SC6A9_MOUSE	Slc6a9	Sodium- and chloride-dependent glycine transporter 1	352.42									
P28652	KCC2B_MOUSE	Camk2b	Calcium/calmodulin-dependent protein kinase type II subunit beta	175782	103336	145449	157113	117928	137594	113316	133857	109867	127460
P28656	NP1L1_MOUSE	Nap1l1	Nucleosome assembly protein 1-like 1	10103.8	12309.1	11794.6	9017.63	12114.8	11892.7	11482.2	11116.4	9361.63	10578.5
P28659	CELF1_MOUSE	Celf1	CUGBP Elav-like family member 1	3173.93									
P28660	NCKP1_MOUSE	Nckap1	Nck-associated protein 1	32232.1	28360.5	29940.2	30455.8	27761.3	29693.5	28488.7	31175	28057.1	28148.4
P28661	SEPT4_MOUSE	Septin4	Septin-4	19052.3	10742.6								
P28663	SNAB_MOUSE	Napb	Beta-soluble NSF attachment protein	2579.56	8701.05	3086.55	3691.42	3837.74	3505.79	4413.63	4118.53	2897.23	3268.97
P28665	MUG1_MOUSE	Mug1	Murinoglobulin-1				46425.3		45672.4		26996.2		40562.3
P28667	MRP_MOUSE	Marcksl1	MARCKS-related protein	824.731		875.069	852.941	1260.82	1322.34	994.265	1042.88	678.305	615.975
P28738	KIF5C_MOUSE	Kif5c	Kinesin heavy chain isoform 5C	20853.2	21987.6	20528.7	22465	22392.7	23661.2	21318.6	20757.6	20244.1	20800.3
P28740	KIF2A_MOUSE	Kif2a	Kinesin-like protein KIF2A	146443	86117.9	120013	114908	114156	111542	117250	122909	136347	130529
P28741	KIF3A_MOUSE	Kif3a	Kinesin-like protein KIF3A	5141.2	7727.32	5646.92	6320.6	5877.25	5754.82	5905.24	4357.11	3807.71	4413.27
P28798	GRN_MOUSE	Grn	Progranulin	16337.6	476877	89874.6	130148	119440	151447	113231	87784.9	54649.1	84877.7
P29341	PABP1_MOUSE	Pabpc1	Polyadenylate-binding protein 1	126315	51149.3	42298.6	40525.9	52477.7	44313	48771.9	45979.9	44096.4	44344.4
P29387	GBB4_MOUSE	Gnb4	Guanine nucleotide-binding protein subunit beta-4	91798.6	80269.9	95957.2	99938.6	85263.7	106919	87465.7	100042	103083	107078
P29533	VCAM1_MOUSE	Vcam1	Vascular cell adhesion protein 1			473307		902886		730091		357710	
P29595	NEDD8_MOUSE	Nedd8	NEDD8	348.849		746.758				497.733		350.03	
P29699	FETUA_MOUSE	Ahsg	Alpha-2-HS-glycoprotein				15902.6		14163.5		8442.48		14368.1
P30275	KCRU_MOUSE	Ckmt1	Creatine kinase U-type, mitochondrial	30143.7	75390.2	26334.1	24874.4	27710.2	29158.4	31017	30600.3	24177	29881.7
P30999	CTND1_MOUSE	Ctnnd1	Catenin delta-1	16603.4	19447.4	16261.8	14311.6	16343.2	16153.7	15047.1	15530.9	13231	14274
P31230	AIMP1_MOUSE	Aimp1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1	8739.19		7560.56		13270.8	8568.67	9333.41	12055.6	9825.2	10071.6
